Departamento,Municipio,Puesto,Direccion
ANTIOQUIA,MEDELLIN,SEC. ESC. LA ESPERANZA No 2,KR 29 # 102 - 20
ANTIOQUIA,MEDELLIN,IE MARIA DE LOS ANGELES CANO MARQUEZ,CR 36B 102C 54
ANTIOQUIA,MEDELLIN,SEC. ESC. MEDELLIN,CL 96 # 36-45
ANTIOQUIA,MEDELLIN,I.E.FE Y ALEGRIA GRANIZAL,Cra 39A # 104-23
ANTIOQUIA,MEDELLIN,IE LA AVANZADA,CRA 27 No 106BB-65
ANTIOQUIA,MEDELLIN,SEC. ESC. CARPINELO AMAPOLITA,CALLE 97 # 23-12
ANTIOQUIA,MEDELLIN,IE ANTONIO DERKA,CRA 28 No 107-425
ANTIOQUIA,MEDELLIN,SEC. ESC. DIVINA PROVIDENCIA,CL 108 NO 43B - 17
ANTIOQUIA,MEDELLIN,I.E.FEDERICO CARRASQUILLA,Cra 45 # 108-110
ANTIOQUIA,MEDELLIN,I.E.GUADALUPE,Cra 42B 95A -23
ANTIOQUIA,MEDELLIN,SEC.ESC. MANUEL URIBE ANGEL 02COMUNA,KR 49A #107-65
ANTIOQUIA,MEDELLIN,SEC. ESC. FIDEL ANTONIO SALDARRIAGA 02COMUNA,CRA 48 No 103B-01
ANTIOQUIA,MEDELLIN,SEC ESC LA FRONTERA 02COMUNA,CALLE 122 No 50A 14
ANTIOQUIA,MEDELLIN,I.E. BARRIO SANTA CRUZ 02COMUNA,CL 103 # 43A - 45
ANTIOQUIA,MEDELLIN,SEC. ESC. ARZOBISPO GARCIA 02COMUNA,KR 49 # 98-48
ANTIOQUIA,MEDELLIN,I.E. REPUBLICA DE HONDURAS 02COMUNA,KR 50B # 97A-30
ANTIOQUIA,MEDELLIN,IE LAS NIEVES,CLL 82 No 39 - 69
ANTIOQUIA,MEDELLIN,I.E.RAMON MUNERA LOPERA,Cra 30A # 77 - 04
ANTIOQUIA,MEDELLIN,IE BELLO ORIENTE,CRA 23B No 84B-27
ANTIOQUIA,MEDELLIN,IE JOSE ROBERTO VASQUEZ,CLL 76 No 39-160
ANTIOQUIA,MEDELLIN,SEC. ESC. BALDOMERO SANIN CANO,CR 37 75A 2
ANTIOQUIA,MEDELLIN,I.E. JOSE ANTONIO GALAN,KR 44A NO 93-87
ANTIOQUIA,MEDELLIN,IE RODRIGO LARA BONILLA - SEDE LA SUSANA,KR 41B # 66E-50
ANTIOQUIA,MEDELLIN,IE SAN JUAN BAUTISTA DE LA SALLE,CLL 93 No 40-42
ANTIOQUIA,MEDELLIN,I.E. CAMPO VALDES,CL 83 # 47-33
ANTIOQUIA,MEDELLIN,I.E.SAN JUAN BOSCO,CALLE 82 # 50C-10
ANTIOQUIA,MEDELLIN,I.E. JOSE EUSEBIO CARO,CR 50 A 93 77
ANTIOQUIA,MEDELLIN,IE LORENZA VILLEGAS DE SANTOS,CRA 51 No 87 - 40
ANTIOQUIA,MEDELLIN,SEC ESC TOMAS CARRASQUILLA No 1,CRA 52 No 92 - 05
ANTIOQUIA,MEDELLIN,I.E. JOSE MARIA BRAVO MARQUEZ,CL 70 # 47A-04
ANTIOQUIA,MEDELLIN,I.E. JAVIERA LONDOÑO SEVILLA,CL 71 # 51D-26
ANTIOQUIA,MEDELLIN,SEC ESC JULIO ARBOLEDA,CR 51 78 12
ANTIOQUIA,MEDELLIN,SEC. ESC. PORFIRIO BARBA JACOB,CR 47 74 32
ANTIOQUIA,MEDELLIN,IE FE Y ALEGRIA LUIS AMIGO MORAVIA,CARRERA 58 No 84 40
ANTIOQUIA,MEDELLIN,I.E. JULIO CESAR GARCIA,CL 111A # 65-26
ANTIOQUIA,MEDELLIN,IE DIEGO ECHAVARRIA MISAS,CALLE 111 No 70 68
ANTIOQUIA,MEDELLIN,I.E. PBRO ANTONIO JOSE BERNAL LONDOÑO SJ,CL 105A # 63A-200
ANTIOQUIA,MEDELLIN,I.E.SEBASTIAN DE BELALCAZAR,CALLE 103EE # 63D-185
ANTIOQUIA,MEDELLIN,SEC ESC TRICENTENARIO,CRA 63A No 94A-23
ANTIOQUIA,MEDELLIN,SEC ESC TOSCANA,CLL 111G No 64A-16
ANTIOQUIA,MEDELLIN,I.E. MARIA MONTESSORI,KR 69A # 92C-87
ANTIOQUIA,MEDELLIN,ITM CASTILLA,CR 65 No 98 A - 75
ANTIOQUIA,MEDELLIN,I.E. DINAMARCA,Calle 91 No 65-119
ANTIOQUIA,MEDELLIN,I.E. REPUBLICA DE URUGUAY,CL 91A No 70A-123
ANTIOQUIA,MEDELLIN,IE FELIX DE BEDOUT MORENO,CLL 108 No 70-39
ANTIOQUIA,MEDELLIN,TERMINAL DE TRANSPORTES DEL NORTE,CR 64 C No 78 580
ANTIOQUIA,MEDELLIN,I.E. CIUDADELA LAS AMERICAS 06COMUNA,CL 111 # 79-77
ANTIOQUIA,MEDELLIN,I.E. JOSE MARIA ESPINOSA PRIETO - CASD 06COMUNA,CLL 99 No 72-192
ANTIOQUIA,MEDELLIN,I.E. EL TRIUNFO SANTA TERESA 06COMUNA,CL 104 D 82 GG 20
ANTIOQUIA,MEDELLIN,I.E. SANTA JUANA DE LESTONNAC 06COMUNA,CRA 76A No 103C-43
ANTIOQUIA,MEDELLIN,I.E. JESUS MARIA VALLE 06COMUNA,CLL 101 No 83-21
ANTIOQUIA,MEDELLIN,I.E.ALFREDO COCK ARANGO 06COMUNA,KR 72 # 99-55
ANTIOQUIA,MEDELLIN,SEC.ESC.SAN MARTIN DE PORRES 06COMUNA,KR 75A # 97-135
ANTIOQUIA,MEDELLIN,I.E. KENNEDY 06COMUNA,CRA 76A No 92-200
ANTIOQUIA,MEDELLIN,SEC.CONCENTRACION EDUC.KENNEDY 06COMUNA,CRA 76 A # 92-131
ANTIOQUIA,MEDELLIN,I.E. JORGE ELIECER GAITAN 06COMUNA,CALLE 92 # 83-41
ANTIOQUIA,MEDELLIN,SEC. ESC. EL PEDREGAL 06COMUNA,CLL 104E No 74-109
ANTIOQUIA,MEDELLIN,I.E.LA ESPERANZA 06COMUNA,CRA 73B No 96-09
ANTIOQUIA,MEDELLIN,SENA PEDREGAL 06COMUNA,CL 104 69 120
ANTIOQUIA,MEDELLIN,I.E. SAN VICENTE DE PAUL,KR 71A # 79D-01
ANTIOQUIA,MEDELLIN,I.E.EL DIAMANTE (SEDE BTO),CARRERA 87 No. 79-05
